,accuracy,balanced_accuracy,roc_auc,recall_class2,f1_score_class2
XGBoost,0.564,0.5053,0.68,0.7082,0.6914
Random Forest,0.5865,0.469,0.67,0.769,0.72
TabNet,0.5519,0.4519,0.66,0.7204,0.71
Logistic Regression,0.4896,0.4659,0.65,0.5745,0.63
SVM,0.56,0.49,0.66,0.5,0.52
